ts,mid,position,exposure,realized,unrealized,total,mode
2025-08-23T11:28:08.120751+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:08.379010+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:08.647451+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:08.906952+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:09.165437+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:09.429609+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:09.697445+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:09.967895+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:10.232793+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:10.496838+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:10.757872+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:11.019995+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:11.275639+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:11.534937+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:11.852932+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:12.110258+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:12.374369+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:12.638893+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:12.904885+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:13.163768+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:13.422863+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:13.686602+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:13.947737+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:14.210362+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:14.472916+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:14.725181+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:14.988045+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:15.247288+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:15.509701+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:15.766246+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:16.030607+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:16.288625+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:16.552256+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:16.814584+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:17.078306+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:17.343835+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:17.610515+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:17.871442+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:18.136848+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:18.400705+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:18.661269+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:18.921764+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:19.186332+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:19.447544+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:19.713403+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:19.973841+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:20.230841+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:20.491907+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:20.756203+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:21.013762+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:21.273873+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:21.532232+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:21.799553+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:22.059620+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:22.319962+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:22.601622+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:22.866345+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:23.128442+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:23.395416+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:23.660778+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:23.917942+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:24.175687+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:24.435297+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:24.692985+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:24.954337+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:25.211327+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:25.468663+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:25.728779+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:25.986640+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:26.249719+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:26.514841+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:26.779677+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:27.044452+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:27.303929+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:27.561607+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:27.826362+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:28.093972+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:28.359537+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:28.619740+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:28.880523+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:29.144129+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:29.406441+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:29.662419+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:29.921703+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:30.190316+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:30.455614+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:30.715552+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:30.982294+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:31.246431+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:31.508346+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:31.772957+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:32.040073+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:32.304907+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:32.571425+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:32.823558+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:33.094331+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:33.362105+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:33.624119+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:33.883902+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:34.142008+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:34.401463+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:34.675316+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:34.938443+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:35.201330+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:35.472039+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:35.755659+00:00,115502.395,0,0.000,0,0,0,normal
2025-08-23T11:28:36.109730+00:00,115496.815,0,0.000,0,0,0,normal
2025-08-23T11:28:36.366641+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:36.627252+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:36.886301+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:37.143885+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:37.409052+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:37.680651+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:37.947006+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:38.212647+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:38.477478+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:38.740862+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:39.010146+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:39.275078+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:39.539914+00:00,115495.385,0,0.000,0,0,0,normal
2025-08-23T11:28:39.811092+00:00,115486.685,0,0.000,0,0,0,normal
2025-08-23T11:28:40.076675+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:40.347402+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:40.612624+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:40.888796+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:41.141436+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:41.408304+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:41.671771+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:41.936416+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:42.207743+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:42.472605+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:42.737885+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:43.001477+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:43.266983+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:43.531307+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:43.796351+00:00,115483.585,0,0.000,0,0,0,normal
2025-08-23T11:28:44.061183+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:44.327553+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:44.592639+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:44.858671+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:45.123734+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:45.390105+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:45.658104+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:45.923173+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:46.188207+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:46.457813+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:46.722906+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:46.987916+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:47.260896+00:00,115482.275,0,0.000,0,0,0,normal
2025-08-23T11:28:47.521533+00:00,115482.275,0,0.000,0,0,0,normal
